Renewable electricity generation in Germany in GWh (million kWh)
Year      Hydro      Wind    Biomass  Photovoltaics
2018      17974    109951      50851          45784
2017      20150    105693      50917          39401
2016      20546     79924      50928          38098
2015      18977     80624      50326          38726
2014      19587     58497      48287          36056
2013      22998     52737      45513          31010
2012      21755     51680      43203          26380
2011      17671     49857      36891          19599
2010      20953     38547      33924          11729
2009      19031     39420      30886           6583
2008      20443     41385      28014           4420
2007      21170     40507      24616           3075
2006      20031     31324      18934           2220
2005      19638     27774      14706           1282
2004      20745     26019      10636            557
2003      18322     19087       8948            313
2002      23124     16102       6048            162
2001      22733     10719       5214             76
2000      21732      9703       4731             60
1999      19647      5639       3585             30
1998      17216      4579       3256             35
1997      17357      3025       2273             18
1996      21957      2073       2098             12
1995      21780      1530       2010              7
1994      19930       927       1875              7
1993      17878       612       1635              3
1992      17397       281       1558              4
1991      14891       102       1471              1
1990      17426        72       1435              1
