,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,T
76189,76189,76423.0,139216.0,,,,,15.607829999999998,15.101424,205.7613,-3.41,9.55,-26.0,6.51,-0.057,M5II-III,1.2,-116.436999,-160.954565,53.606624,1.375e-05,2.48e-05,2.27e-06,4.086120283343719,0.2635695751224275,-1.6532146506944447e-08,4.6299706e-08,Tau-4,17.0,Ser,1,76189,,91.79097860573371,Tau-4,6.76,6.41,4308.727009145039
107312,107312,107655.0,207372.0,,,,,21.806345,0.200786,189.7533,11.87,-33.78,0.0,8.32,1.929,K1V,0.884,159.310987,-103.081919,0.664967,6.02e-06,9.11e-06,-3.107e-05,5.708887822539609,0.00350438501196625,5.754738388194443e-08,-1.63770061e-07,,,Aqr,1,107312,,14.736691770366885,,,,5039.699311497114
62985,62985,63187.0,,,,,,12.945114,-50.182346,196.4637,-78.79,-73.7,0.0,10.36,3.8939999999999997,G5,0.753,-121.97348799999999,-30.811059999999998,-150.90106699999998,3.389e-05,8.596e-05,-4.495e-05,3.3890230426338848,-0.8758471604422174,-3.8198469890972226e-07,-3.57307682e-07,,,Cen,1,62985,,2.412126056092573,,10.437000000000001,10.287,5426.533871710267
114671,114671,115032.0,219713.0,,,,,23.298389,18.702398000000002,300.3003,-15.12,-8.19,-13.7,8.81,1.422,K0,1.077,279.658468,-51.953638,96.29204399999999,-1.331e-05,-1.992e-05,-1.579e-05,6.0995040265915,0.32641842657040004,-7.330382849999999e-08,-3.970624e-08,,,Peg,1,114671,,23.50715115938293,,,,4565.15630336834
51601,51601,51750.0,91426.0,,,,,10.572482,49.107306,374.5318,-10.65,-25.25,0.0,7.12,-0.747,K5,1.45,-228.261106,89.51328199999999,283.12242799999996,-2.52e-05,3.065e-05,-3.001e-05,2.767869401214252,0.8570841798647775,-5.1632656979166665e-08,-1.22415454e-07,,,UMa,1,51601,,173.30057353270814,,,,3870.2956395244883
79687,79687,79930.0,,,,,,16.314304,24.473968,151.2859,-32.57,105.69,0.0,10.1,4.2010000000000005,G0,0.664,-58.812488,-124.500596,62.674687,-7.88e-06,3.924e-05,7.055e-05,4.271074750341612,0.4271513244963075,-1.5790381575694445e-07,5.12399578e-07,,,Her,1,79687,,1.818025623774264,,10.161,10.031,5727.747329023016
1363,1363,1366.0,1280.0,63.0,,24The And,,0.28486300000000003,38.681636,94.697,-50.01,-17.9,1.0,4.61,-0.272,A2V,0.059000000000000004,73.717927,5.507828,59.184918,7.63e-06,-2.245e-05,-5.78e-06,0.0745769335159356,0.67512190066058,-2.424553216458333e-07,-8.6781648e-08,The,24.0,And,1,1363,,111.89224819552429,,,,9444.250091007687
111188,111188,111538.0,,,,,,22.596683,40.090942,296.7359,0.89,-6.98,0.0,9.48,2.1180000000000003,A0V,0.028999999999999998,211.861221,-81.53709,191.098719,6.49e-06,-1.13e-06,-7.68e-06,5.915797646754866,0.6997189369000526,4.314841756944444e-09,-3.3839994e-08,,,Lac,1,111188,,12.382262309589931,,,,9777.327488903338
17248,17248,17290.0,23164.0,,,,,3.701547,-23.247079,163.1321,-11.28,-7.1,0.0,8.72,2.657,A1V,0.146,84.847258,123.560681,-64.387754,6.1e-06,-6.88e-06,-5.16e-06,0.9690626984888971,-0.4057380761904963,-5.468698316666667e-08,-3.4421771e-08,,,Eri,1,17248,,7.537025766884255,,,,8605.94894555253
66679,66679,66891.0,,,,,,13.707970000000001,28.53306,294.9853,-48.05,-4.4,0.0,10.56,3.2110000000000003,G0,0.539,-233.67790499999998,-112.057667,140.904377,-3.242e-05,6.066e-05,-5.53e-06,3.588738163661482,0.4979958353467413,-2.3295297350694442e-07,-2.1331801e-08,,,CVn,1,66679,,4.524806378555483,,10.603,10.503,6217.139198296417
103742,103742,104077.0,200521.0,,,,,21.085714000000003,-37.231383,104.3841,64.41,-95.25,0.0,7.01,1.9169999999999998,K1III/IV,1.104,60.071862,-57.434511,-63.15606700000001,1.45e-06,4.371e-05,-3.838e-05,5.520227009349301,-0.6498102206190125,3.1226849164583336e-07,-4.617850300000001e-07,,,Mic,1,103742,,14.90047111787099,,,,4506.152751227316
26862,26862,26928.0,38022.0,,,,,5.715644999999999,5.23579,442.4779,-0.73,-8.04,0.0,8.15,-0.079,B9,0.037000000000000005,32.772116,439.41129299999994,40.378164,1.68e-06,1.45e-06,-1.717e-05,1.496352284032526,0.09138177393358377,-3.539139868055555e-09,-3.8979019e-08,,,Ori,1,26862,,93.66988779521158,,,,9685.973620151606
103318,103318,103650.0,,,,,,21.000906,70.668677,25.8465,151.18,-47.05,0.0,9.32,7.257999999999999,K2,1.12,6.051501,-6.048474,24.389278,1.733e-05,9.46e-06,-1.95e-06,5.498024344236571,1.233401098082685,7.329413222638891e-07,-2.28104836e-07,,,Cep,1,103318,,0.10884287379435938,,,,4471.937939664698
107012,107012,107355.0,207086.0,,,,,21.744148000000003,58.225698,182.8154,67.35,24.1,0.0,6.8,0.49,G9III,1.054,79.960309,-53.604848,155.416665,1.816e-05,5.969e-05,1.125e-05,5.692604660067621,1.0162301423508486,3.2652201385416664e-07,1.1684009699999999e-07,,,Cep,1,107012,,55.46257129579104,,,,4616.717083828433
79450,79450,79691.0,146639.0,,,,,16.264089000000002,36.554481,309.5975,-8.87,-7.88,0.0,7.0,-0.45399999999999996,K5,1.3319999999999999,-109.172351,-223.45362599999999,184.392209,-1.505e-05,-4.8e-07,-9.5e-06,4.257928603723983,0.6379960437209675,-4.3002973465277785e-08,-3.8203318e-08,,,CrB,1,79450,,132.31223331133708,,,,4065.0435225094448
55197,55197,55361.0,98501.0,,,,,11.336106,28.310444,490.1961,-7.2,11.02,0.0,7.76,-0.6920000000000001,K2,1.416,-425.062045,74.631843,232.474863,1.519e-05,1.47e-05,2.305e-05,2.9677855765673815,0.4941104644815863,-3.4906585e-08,5.3426467000000005e-08,,,Leo,1,55197,,164.7403559435753,,,,3924.3884080508515
67976,67976,68194.0,121637.0,,,,,13.961260999999999,-45.404296,70.922,-55.68,-75.59,0.0,8.26,4.006,F6/F7V,0.517,-43.373447,-24.458488,-50.502046,6.72e-06,2.576e-05,-1.825e-05,3.6550494959877486,-0.7924544656182838,-2.699442573333333e-07,-3.6647066100000004e-07,,,Cen,1,67976,,2.1757049509257937,,,,6312.77973184805
98216,98216,98527.0,188710.0,,,,,20.016431,-66.845283,775.1938,25.73,-11.16,0.0,8.83,-0.617,A0V,0.036000000000000004,153.543599,-263.321931,-712.74915,6.41e-05,8.202e-05,-1.649e-05,5.2402892804974,-1.1666702844205523,1.2474256000694444e-07,-5.4105206e-08,,,Pav,1,98216,,153.74464569916873,,,,9697.28894081955
29720,29720,29793.0,43246.0,,,,,6.272833,28.851978000000003,271.7391,-3.38,-15.1,7.5,7.41,0.239,A2,0.41100000000000003,-16.985851999999998,237.40110299999998,131.12731200000002,3.28e-06,1.659e-05,-1.372e-05,1.642223800616354,0.5035620044399313,-1.6386702402777776e-08,-7.3206865e-08,,,Aur,1,29720,,69.88757961347103,V395,7.434,7.354,6822.203449258034
10383,10383,10407.0,,,,,,2.234793,2.470576,602.4096,1.32,-1.86,0.0,9.66,0.7609999999999999,K0,0.9890000000000001,501.746913,332.374852,25.967658,-1.93e-06,3.34e-06,-5.43e-06,0.5850674519959801,0.04311967709657751,6.3995405833333324e-09,-9.017533999999999e-09,,,Cet,1,10383,,43.2115654470299,,,,4769.304916235793
77342,77342,77578.0,141680.0,5888.0,,34Ome Ser,,15.838207,2.196509,83.8223,30.15,-47.62,-4.0,5.21,0.593,G8III,1.0190000000000001,-44.914398,-70.700408,3.2126490000000003,1.214e-05,-3.75e-06,-1.949e-05,4.146433015999091,0.0383363159026025,1.461713246875e-07,-2.3086827399999996e-07,Ome,34.0,Ser,1,77342,,50.44289459524139,,,,4697.578024064494
30950,30950,31023.0,45465.0,,,,,6.5095339999999995,52.80919599999999,189.3939,-1.51,-23.44,0.0,7.64,1.253,F0,0.28800000000000003,-15.226298000000002,113.466099,150.876285,-9.1e-07,1.718e-05,-1.301e-05,1.7041919499439924,0.9216943536471476,-7.320686576388891e-09,-1.13640326e-07,,,Aur,1,30950,,27.466289924159568,,,,7538.989625080073
35314,35314,35411.0,56714.0,,,,,7.311203,14.363420999999999,277.0083,-6.82,-3.77,32.0,7.77,0.5579999999999999,B9III,-0.07400000000000001,-90.31854399999999,252.69381600000003,68.717925,-2.47e-06,3.412e-05,3.21e-06,1.914068572687436,0.2506889810720937,-3.306429301388889e-08,-1.8277474999999998e-08,,,Gem,1,35314,,52.09547473285554,,,,11153.306863626529
25363,25363,25427.0,35658.0,,,,,5.43786,-3.0760810000000003,317.4603,0.74,-0.07,0.0,8.99,1.482,A0,0.111,46.484421000000005,313.576196,-17.035539,-1.13e-06,1.6e-07,-1.1e-07,1.4236284483916861,-0.05368773796947875,3.587621236111111e-09,-3.393690000000001e-10,,,Ori,1,25363,,22.243339984851108,,,,8922.681607776542
55792,55792,55959.0,99691.0,,,,,11.467555,-22.751898999999998,276.2431,-44.01,-1.77,0.0,9.18,1.974,G8/K0IV,0.91,-252.277154,35.395468,-106.834677,9.1e-06,5.824e-05,-2.19e-06,3.002198827043118,-0.3970955460855175,-2.133665008125e-07,-8.581201999999999e-09,,,Crt,1,55792,,14.138391390945642,,,,4969.761180642741
114070,114070,114432.0,218805.0,,,,,23.174807,41.321889,63.2911,-97.58,-81.95,0.0,7.74,3.733,F5,0.496,46.42747,-10.189033,41.790394,9.8e-06,-3.28e-05,-1.888e-05,6.067150253539594,0.7212030245829038,-4.7308118948611107e-07,-3.9730481099999997e-07,,,And,1,114070,,2.7976926378546505,,,,6407.085991242047
109445,109445,109791.0,211019.0,,,,,22.238708,-5.558715,158.2278,5.8,-9.55,0.0,8.87,2.8739999999999997,A2,0.08800000000000001,141.036337,-70.07050699999999,-15.326854999999998,1.34e-06,4.3e-06,-7.29e-06,5.8220801850429424,-0.0970178781224275,2.8119193472222215e-08,-4.6299706e-08,,,Aqr,1,109445,,6.171631684555835,,,,9145.305320048672
42809,42809,42928.0,74706.0,3473.0,,,,8.748653,-21.167826,84.3882,-24.66,4.12,-15.0,6.1,1.469,A5V,0.195,-51.865763,59.18368100000001,-30.472613,1.661e-05,-3.65e-06,7.11e-06,2.2903918688932805,-0.3694482652246737,-1.19555053625e-07,1.9974323e-08,,,Pyx,1,42809,,22.511270159128795,,,,8201.905393075882
