State/UT,Male Population,Female Population,Area (km2),Male Literacy (%),Fertility Rate,Female Literacy (%)
Uttar Pradesh,104480510,95331831,240928,79.24,3.7,59.26
Maharashtra,58243056,54131277,307713,89.82,1.9,75.48
Bihar,54278157,49821295,94163,73.39,3.9,53.33
West Bengal,46809027,44467088,88752,82.67,1.9,71.16
Madhya Pradesh,37612306,35014503,308245,80.53,3.3,60.02
Tamil Nadu,36137975,36009055,130058,86.81,1.7,73.86
Rajasthan,35550997,32997440,342239,80.51,3.3,52.66
Karnataka,30966657,30128640,191791,82.85,1.9,68.13
Gujarat,31491260,28948432,196024,87.23,2.5,70.73
Andhra Pradesh,24738068,24648731,160205,74.77,1.8,59.96
Odisha,21212136,20762082,155707,82.4,2.4,64.36
Telangana,17704078,17489900,114840,,1.8,
Kerala,16027412,17378649,38863,96.02,1.7,91.98
Jharkhand,16930315,16057819,79714,78.45,3.2,56.21
Assam,15939443,15266133,78438,78.81,2.6,67.27
Punjab,14639465,13103873,50362,81.48,1.9,71.34
Chhattisgarh,12832895,12712303,135191,81.45,3.0,60.59
Haryana,13494734,11856728,44212,85.38,2.5,66.77
Delhi,8887326,7800615,1484,91.03,1.9,80.93
Jammu and Kashmir,6640662,5900640,222236,87.26,2.2,86.23
Uttarakhand,5137773,4948519,53483,88.33,2.6,70.7
Himachal Pradesh,3481873,3382729,55673,90.83,1.9,76.6
Tripura,1874376,1799541,10486,92.18,1.7,83.15
Meghalaya,1491832,1475057,22429,77.17,3.1,73.78
Manipur,1438687,1417107,22327,86.49,1.5,73.17
Nagaland,1024649,953853,16579,83.29,2.0,76.69
Goa,739140,719405,3702,92.81,1.6,81.84
Arunachal Pradesh,713912,669815,83743,73.69,2.7,59.57
Puducherry,612511,635442,479,92.12,1.6,81.22
Mizoram,555339,541867,21081,93.72,2.0,89.4
Chandigarh,580663,474787,114,90.54,1.8,81.38
Sikkim,323070,287507,7096,87.29,2.1,76.43
Andaman and Nicobar Islands,202871,177710,8249,90.11,1.5,81.84
Dadra and Nagar Haveli,193760,149949,491,86.46,3.3,65.93
Daman and Diu,150301,92946,112,91.48,1.9,79.59
Lakshadweep,33123,31350,32,96.11,2.1,88.25
