Abkhazia	
Afghanistan	29145841
Akrotiri and Dhekelia	
Albania	3169665
Algeria	33906605
American Samoa	65130
Andorra	81390
Angola	17525367
Anguilla	14393
Antigua and Barbuda	85935
Argentina	39368066
Armenia	3074181
Aruba	104225
Australia	21119988
Austria	8309783
Azerbaijan	8821012
Bahamas	328861
Bahrain	925733
Bangladesh	143956805
Barbados	271618
Belarus	9728228
Belgium	10538758
Belize	293124
Benin	8112573
Bermuda	64502
Bhutan	688581
Bolivia	9463497
Bosnia and Herzegovina	3779034
Botswana	1927540
Brazil	189798070
British Virgin Islands	22511
Brunei	377513
Bulgaria	7640283
Burkina Faso	15061127
Burundi	7707781
Cambodia	13669857
Cameroon	18350022
Canada	32977334
Cape Verde	483023
Cayman Islands	54679
Central African Rep.	4160940
Chad	10371839
Channel Islands	150689
Chile	16633254
China	1321481935
Christmas Island	1400
Cocos Island	596
Colombia	44352327
Comoros	678602
Congo, Dem. Rep.	60772175
Congo, Rep.	3730612
Cook Islands	19861
Costa Rica	4452608
Cote d'Ivoire	18646754
Croatia	4425995
Cuba	11268687
Cyprus	1063027
Czech Rep.	10313525
Czechoslovakia	15676246
Denmark	5469130
Djibouti	839453
Dominica	68434
Dominican Rep.	9531954
East Germany	
Ecuador	13849721
Egypt	76941572
El Salvador	6100868
Equatorial Guinea	643936
Eritrea	4798561
Eritrea and Ethiopia	81418472
Estonia	1342873
Ethiopia	77718436
Faeroe Islands	48572
Falkland Islands (Malvinas)	2979
Fiji	835267
Finland	5290431
France	61744596
French Guiana	214366
French Polynesia	261345
Gabon	1423637
Gambia	1591357
Georgia	4415956
Germany	82516297
Ghana	22712403
Gibraltar	29296
Greece	11255717
Greenland	57316
Grenada	103368
Guadeloupe	452253
Guam	173334
Guatemala	13358842
Guernsey	65573
Guinea	9373619
Guinea-Bissau	1424191
Guyana	750068
Haiti	9608453
Holy See	450
Honduras	7158819
Hong Kong, China	6872780
Hungary	10042572
Iceland	305721
India	1173971629
Indonesia	232461746
Iran	71435498
Iraq	28960581
Ireland	4291258
Isle of Man	81203
Israel	6920182
Italy	59495243
Jamaica	2709042
Japan	126515486
Jersey	91321
Jordan	5667443
Kazakhstan	15476093
Kenya	37485246
Kiribati	95043
Korea, Dem. Rep.	24008606
Korea, Rep.	47499360
Korea, United	72346515
Kosovo	2421609
Kuwait	2447818
Kyrgyzstan	5139213
Laos	5931385
Latvia	2281693
Lebanon	4134872
Lesotho	2106128
Liberia	3477197
Libya	6023053
Liechtenstein	35266
Lithuania	3379043
Luxembourg	475714
Macao, China	505709
Macedonia, FYR	2047922
Madagascar	18980391
Malawi	13589404
Malaysia	27051142
Maldives	303539
Mali	14020786
Malta	412608
Marshall Islands	52487
Martinique	401101
Mauritania	3212672
Mauritius	1275650
Mayotte	185922
Mexico	109220753
Micronesia, Fed. Sts.	110092
Moldova	3671540
Monaco	35295
Mongolia	2624509
Montenegro	627962
Montserrat	5845
Morocco	31011199
Mozambique	21811326
Myanmar	46915826
Namibia	2158984
Nauru	10154
Nepal	28373838
Netherlands	16443483
Netherlands Antilles	191788
New Caledonia	238926
New Zealand	4232461
Ngorno-Karabakh	
Nicaragua	5563654
Niger	13945662
Nigeria	146951477
Niue	1598
Norfolk Island	2110
Northern Cyprus	
Northern Mariana Islands	64349
Norway	4722016
Oman	2561187
Pakistan	164445596
Palau	20118
Panama	3350673
Papua New Guinea	6396307
Paraguay	6119295
Peru	28166078
Philippines	88652631
Pitcairn	
Poland	38189762
Portugal	10608036
Puerto Rico	3765404
Qatar	1178192
Reunion	815803
Romania	21644886
Russia	143294533
Rwanda	9710531
Saint Barthélemy	8450
Saint Helena	4388
Saint Kitts and Nevis	50455
Saint Lucia	168793
Saint Martin	
Saint Vincent and the Grenadines	109060
Saint-Pierre-et-Miquelon	6090
Samoa	181277
San Marino	31007
Sao Tome and Principe	157361
Saudi Arabia	25504176
Senegal	11474661
Serbia	9832994
Serbia and Montenegro	10835426
Serbia excluding Kosovo	7438779
Seychelles	84975
Sierra Leone	5478289
Singapore	4584894
Slovak Republic	5430974
Slovenia	2012345
Solomon Islands	496490
Somalia	8733493
Somaliland	
South Africa	48842462
South Ossetia	
South Sudan	8260226
Spain	44604384
Sri Lanka	20272269
Sudan	32113409
Suriname	510136
Svalbard	
Swaziland	1133007
Sweden	9161374
Switzerland	7521613
Syria	19321300
Taiwan	22859000
Tajikistan	6604426
Tanzania	41068185
Thailand	67796451
Timor-Leste	1060770
Togo	5652811
Tokelau	1148
Tonga	102254
Transnistria	
Trinidad and Tobago	1325672
Tunisia	10130368
Turkey	69992754
Turkmenistan	4858843
Turks and Caicos Islands	34404
Tuvalu	9762
Uganda	30339895
Ukraine	46282158
United Arab Emirates	5405541
United Kingdom	60896101
United States	302284564
Uruguay	3335528
USSR	287330757
Uzbekistan	26503833
Wallis et Futuna	13989
Vanuatu	222377
Venezuela	27593427
West Bank and Gaza	3728259
West Germany	
Western Sahara	480140
Vietnam	85007447
Virgin Islands (U.S.)	109389
Yemen Arab Republic (Former)	
Yemen Democratic (Former)	
Yemen, Rep.	21946990
Yugoslavia	23946096
Zambia	12055384
Zimbabwe	12481245
Åland   
