"Notes"	"State"	"State Code"	"Year"	"Year Code"	Cases	Percent of Total
	"Alabama"	"01"	"2018"	"2018"	91	0.02%
	"Alabama"	"01"	"2017"	"2017"	120	0.03%
	"Alabama"	"01"	"2016"	"2016"	112	0.03%
	"Alabama"	"01"	"2015"	"2015"	119	0.03%
	"Alabama"	"01"	"2014"	"2014"	133	0.04%
	"Alabama"	"01"	"2013"	"2013"	108	0.03%
	"Alabama"	"01"	"2012"	"2012"	134	0.04%
	"Alabama"	"01"	"2011"	"2011"	161	0.04%
	"Alabama"	"01"	"2010"	"2010"	146	0.04%
	"Alabama"	"01"	"2009"	"2009"	168	0.04%
	"Alabama"	"01"	"2008"	"2008"	176	0.05%
	"Alabama"	"01"	"2007"	"2007"	176	0.05%
	"Alabama"	"01"	"2006"	"2006"	196	0.05%
	"Alabama"	"01"	"2005"	"2005"	216	0.06%
	"Alabama"	"01"	"2004"	"2004"	211	0.06%
	"Alabama"	"01"	"2003"	"2003"	258	0.07%
	"Alabama"	"01"	"2002"	"2002"	233	0.06%
	"Alabama"	"01"	"2001"	"2001"	264	0.07%
	"Alabama"	"01"	"2000"	"2000"	310	0.08%
	"Alabama"	"01"	"1999"	"1999"	314	0.08%
	"Alabama"	"01"	"1998"	"1998"	381	0.10%
	"Alabama"	"01"	"1997"	"1997"	405	0.11%
	"Alabama"	"01"	"1996"	"1996"	423	0.11%
	"Alabama"	"01"	"1995"	"1995"	420	0.11%
	"Alabama"	"01"	"1994"	"1994"	433	0.11%
	"Alabama"	"01"	"1993"	"1993"	487	0.13%
"Total"	"Alabama"	"01"			6195	1.64%
	"Alaska"	"02"	"2018"	"2018"	63	0.02%
	"Alaska"	"02"	"2017"	"2017"	53	0.01%
	"Alaska"	"02"	"2016"	"2016"	57	0.02%
	"Alaska"	"02"	"2015"	"2015"	68	0.02%
	"Alaska"	"02"	"2014"	"2014"	62	0.02%
	"Alaska"	"02"	"2013"	"2013"	71	0.02%
	"Alaska"	"02"	"2012"	"2012"	65	0.02%
	"Alaska"	"02"	"2011"	"2011"	67	0.02%
	"Alaska"	"02"	"2010"	"2010"	57	0.02%
	"Alaska"	"02"	"2009"	"2009"	37	0.01%
	"Alaska"	"02"	"2008"	"2008"	50	0.01%
	"Alaska"	"02"	"2007"	"2007"	50	0.01%
	"Alaska"	"02"	"2006"	"2006"	70	0.02%
	"Alaska"	"02"	"2005"	"2005"	59	0.02%
	"Alaska"	"02"	"2004"	"2004"	43	0.01%
	"Alaska"	"02"	"2003"	"2003"	57	0.02%
	"Alaska"	"02"	"2002"	"2002"	49	0.01%
	"Alaska"	"02"	"2001"	"2001"	54	0.01%
	"Alaska"	"02"	"2000"	"2000"	108	0.03%
	"Alaska"	"02"	"1999"	"1999"	61	0.02%
	"Alaska"	"02"	"1998"	"1998"	55	0.01%
	"Alaska"	"02"	"1997"	"1997"	78	0.02%
	"Alaska"	"02"	"1996"	"1996"	97	0.03%
	"Alaska"	"02"	"1995"	"1995"	82	0.02%
	"Alaska"	"02"	"1994"	"1994"	92	0.02%
	"Alaska"	"02"	"1993"	"1993"	57	0.02%
"Total"	"Alaska"	"02"			1662	0.44%
	"Arizona"	"04"	"2018"	"2018"	178	0.05%
	"Arizona"	"04"	"2017"	"2017"	188	0.05%
	"Arizona"	"04"	"2016"	"2016"	188	0.05%
	"Arizona"	"04"	"2015"	"2015"	198	0.05%
	"Arizona"	"04"	"2014"	"2014"	193	0.05%
	"Arizona"	"04"	"2013"	"2013"	184	0.05%
	"Arizona"	"04"	"2012"	"2012"	211	0.06%
	"Arizona"	"04"	"2011"	"2011"	255	0.07%
	"Arizona"	"04"	"2010"	"2010"	282	0.07%
	"Arizona"	"04"	"2009"	"2009"	232	0.06%
	"Arizona"	"04"	"2008"	"2008"	227	0.06%
	"Arizona"	"04"	"2007"	"2007"	302	0.08%
	"Arizona"	"04"	"2006"	"2006"	313	0.08%
	"Arizona"	"04"	"2005"	"2005"	281	0.07%
	"Arizona"	"04"	"2004"	"2004"	272	0.07%
	"Arizona"	"04"	"2003"	"2003"	295	0.08%
	"Arizona"	"04"	"2002"	"2002"	263	0.07%
	"Arizona"	"04"	"2001"	"2001"	289	0.08%
